Product,Quantity Ordered,Total Revenue,Month
20in Monitor,215,23647.85,January
27in 4K Gaming Monitor,312,121676.88,January
27in FHD Monitor,419,62845.810000000005,January
34in Ultrawide Monitor,314,119316.86,January
AA Batteries (4-pack),1425,5472.0,January
AAA Batteries (4-pack),1596,4772.04,January
Apple Airpods Headphones,814,122100.0,January
Bose SoundSport Headphones,659,65893.41,January
Flatscreen TV,243,72900.0,January
Google Phone,318,190800.0,January
LG Dryer,39,23400.0,January
LG Washing Machine,42,25200.0,January
Lightning Charging Cable,1151,17207.45,January
Macbook Pro Laptop,235,399500.0,January
ThinkPad Laptop,217,216997.83000000002,January
USB-C Charging Cable,1284,15343.8,January
Vareebadd Phone,125,50000.0,January
Wired Headphones,1081,12961.19,January
iPhone,379,265300.0,January
20in Monitor,246,27057.539999999997,February
27in 4K Gaming Monitor,428,166915.72,February
27in FHD Monitor,475,71245.25,February
34in Ultrawide Monitor,418,158835.82,February
AA Batteries (4-pack),1736,6666.24,February
AAA Batteries (4-pack),1975,5905.25,February
Apple Airpods Headphones,1013,151950.0,February
Bose SoundSport Headphones,844,84391.56,February
Flatscreen TV,314,94200.0,February
Google Phone,381,228600.0,February
LG Dryer,38,22800.0,February
LG Washing Machine,40,24000.0,February
Lightning Charging Cable,1497,22380.149999999998,February
Macbook Pro Laptop,275,467500.0,February
ThinkPad Laptop,277,276997.23,February
USB-C Charging Cable,1654,19765.3,February
Vareebadd Phone,129,51600.0,February
Wired Headphones,1282,15371.18,February
iPhone,439,307300.0,February
20in Monitor,326,35856.74,March
27in 4K Gaming Monitor,479,186805.21,March
27in FHD Monitor,609,91343.91,March
34in Ultrawide Monitor,524,199114.76,March
AA Batteries (4-pack),2216,8509.44,March
AAA Batteries (4-pack),2478,7409.22,March
Apple Airpods Headphones,1321,198150.0,March
Bose SoundSport Headphones,1197,119688.03,March
Flatscreen TV,362,108600.0,March
Google Phone,463,277800.0,March
LG Dryer,50,30000.0,March
LG Washing Machine,64,38400.0,March
Lightning Charging Cable,1875,28031.25,March
Macbook Pro Laptop,380,646000.0,March
ThinkPad Laptop,344,343996.56,March
USB-C Charging Cable,1944,23230.8,March
Vareebadd Phone,174,69600.0,March
Wired Headphones,1662,19927.38,March
iPhone,538,376600.0,March
20in Monitor,395,43446.049999999996,April
27in 4K Gaming Monitor,565,220344.35,April
27in FHD Monitor,737,110542.63,April
34in Ultrawide Monitor,653,248133.47,April
AA Batteries (4-pack),2822,10836.48,April
AAA Batteries (4-pack),2936,8778.640000000001,April
Apple Airpods Headphones,1525,228750.0,April
Bose SoundSport Headphones,1288,128787.12,April
Flatscreen TV,459,137700.0,April
Google Phone,581,348600.0,April
LG Dryer,77,46200.0,April
LG Washing Machine,61,36600.0,April
Lightning Charging Cable,2371,35446.45,April
Macbook Pro Laptop,455,773500.0,April
ThinkPad Laptop,392,391996.08,April
USB-C Charging Cable,2270,27126.5,April
Vareebadd Phone,220,88000.0,April
Wired Headphones,2066,24771.34,April
iPhone,695,486500.0,April
20in Monitor,340,37396.6,May
27in 4K Gaming Monitor,542,211374.58000000002,May
27in FHD Monitor,688,103193.12000000001,May
34in Ultrawide Monitor,544,206714.56,May
AA Batteries (4-pack),2383,9150.72,May
AAA Batteries (4-pack),2931,8763.69,May
